Filename,Timestamp,Words_Out_of_Order,Longest_Consecutive_Count,Count_of_Audible_Words
09-30-2021 01-50-55.wav,2023-10-03 23:25:46.275943,True,0,1
09-30-2021 00-27-43.wav,2023-10-03 23:26:10.017882,True,0,1
09-30-2021 02-10-55.wav,2023-10-03 23:26:13.112463,False,0,0
09-30-2021 01-25-19.wav,2023-10-03 23:26:20.534804,False,0,0
09-30-2021 00-39-43.wav,2023-10-03 23:26:23.853947,False,9,9
09-30-2021 01-42-55.wav,2023-10-03 23:26:27.279876,False,10,10
09-30-2021 02-32-31.wav,2023-10-03 23:26:30.671645,False,10,10
09-30-2021 00-34-07.wav,2023-10-03 23:26:38.064153,False,10,10
09-30-2021 02-20-31.wav,2023-10-03 23:26:41.484982,False,10,10
09-30-2021 00-38-07.wav,2023-10-03 23:26:44.510932,False,4,4
09-30-2021 00-26-07.wav,2023-10-03 23:26:47.441657,False,0,0
09-29-2021 23-59-43.wav,2023-10-03 23:26:55.017024,False,10,10
09-30-2021 02-16-31.wav,2023-10-03 23:26:58.468990,False,10,10
09-30-2021 00-10-07.wav,2023-10-03 23:27:01.878106,False,10,10
09-30-2021 02-08-31.wav,2023-10-03 23:27:04.792150,False,0,0
09-30-2021 01-44-31.wav,2023-10-03 23:27:12.655544,False,10,10
09-30-2021 01-48-31.wav,2023-10-03 23:27:21.670030,True,0,1
09-30-2021 02-04-31.wav,2023-10-03 23:27:30.846586,False,0,0
09-30-2021 00-02-07.wav,2023-10-03 23:27:34.240447,False,10,10
09-29-2021 23-55-43.wav,2023-10-03 23:27:42.184757,False,10,10
09-30-2021 01-56-31.wav,2023-10-03 23:27:45.378616,True,0,1
09-30-2021 03-06-55.wav,2023-10-03 23:27:48.777458,False,10,10
09-30-2021 01-31-43.wav,2023-10-03 23:28:13.230133,True,0,1
09-30-2021 03-18-55.wav,2023-10-03 23:28:19.791870,True,0,1
09-30-2021 00-54-55.wav,2023-10-03 23:28:22.681357,False,0,0
09-30-2021 00-33-19.wav,2023-10-03 23:28:26.082311,False,10,10
09-30-2021 00-58-55.wav,2023-10-03 23:28:29.478229,False,10,10
09-30-2021 03-14-55.wav,2023-10-03 23:28:36.080366,False,10,10
09-30-2021 01-23-43.wav,2023-10-03 23:28:39.015918,False,0,0
09-30-2021 00-46-55.wav,2023-10-03 23:28:42.429960,False,10,10
09-30-2021 00-21-19.wav,2023-10-03 23:28:45.822427,False,10,10
09-30-2021 03-22-55.wav,2023-10-03 23:28:52.939458,False,10,10
09-30-2021 01-15-43.wav,2023-10-03 23:28:56.474082,False,10,10
